ID;Fan Identity;Sport_Involvement_1;Sport_Involvement_2;Sport_Involvement_3;Sport_Involvement_4;Sport_Involvement_5;Sport_Involvement_6;Sport_Involvement_7;Sport_Involvement_8;Sport_Involvement_9;Sport_Involvement_10;Team_Identification_1;Team_Identification_2;Team_Identification_3;Team_Identification_4;Team_Identification_5;Team_Identification_6;Team_Identification_7;Team_Identification_8;Gender;Age;Opponent;Score_1;Score_2
1;17;7;6;7;7;7;5;7;7;5;7;7;7;7;7;7;3;7;1;0;28;14;0;1
2;27;7;6;7;5;4;6;6;6;5;5;5;7;5;6;6;4;3;1;0;28;29;0;1
3;31;5;4;7;7;7;7;7;7;7;7;7;7;5;7;7;6;5;1;0;25;10;1;2
4;23;4;3;5;3;3;3;3;3;3;6;6;4;4;6;4;4;4;2;1;25;9;3;1
5;14;4;3;5;4;2;5;5;5;2;7;7;6;5;4;6;5;2;1;0;27;28;0;1
6;4;7;7;7;5;6;7;7;7;5;7;7;7;5;7;5;6;4;1;0;27;6;2;0
7;18;7;7;7;7;7;7;6;6;6;7;7;7;7;7;7;1;5;1;0;32;13;2;0
8;23;7;7;7;6;6;7;6;3;6;7;7;7;7;4;7;5;1;2;1;24;32;0;3
9;14;7;4;7;2;1;7;1;5;4;7;7;7;7;7;7;5;7;1;0;18;22;1;1
10;1;7;7;7;4;5;7;5;5;4;6;6;5;5;5;5;2;3;1;0;30;18;2;1
11;12;7;6;7;6;6;7;6;7;7;7;7;6;7;7;6;6;6;1;0;24;27;0;2
